model,target,MAE,RMSE,R2
ridge_scaled,cd,0.005052723272136585,0.0062739003821665135,0.9540857280886815
ridge_scaled,cl,0.009160558139052921,0.011355155827973301,0.9673260709486114
ridge_scaled,clf,0.007275779140399129,0.009394997323389304,0.972945433729907
ridge_scaled,clr,0.006825931788997139,0.008893116602876953,0.9663949242893266
random_forest,cd,0.011448824373195837,0.014127302479453213,0.767195724232054
random_forest,cl,0.023516862462657745,0.03011097849805637,0.7702450365954908
random_forest,clf,0.01803529227711981,0.022248300928121776,0.8482806565477278
random_forest,clr,0.02047901180855773,0.026035815125145197,0.7119689795916953
hist_gbdt,cd,0.005183752495023033,0.006434719829192763,0.9517017106363516
hist_gbdt,cl,0.01593118551812019,0.01940989461229081,0.9045311877452555
hist_gbdt,clf,0.00885167061933384,0.0116797247365599,0.958186890125883
hist_gbdt,clr,0.012489288300762284,0.016071437122326802,0.8902495443685825
